"OCC","Occupation","Occupation Category (1st Level)","Occupation Category (2nd Level)","Occupation Category (3rd Level)","Occupation Category (4th Level)"
"000","N/A (not applicable)","Not Applicable",,,
"003","Legislators","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"004","Chief executives and general administrators, public administration","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"005","Administrators and officials, public administration","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"006","Administrators, protective service","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"007","Financial managers","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"008","Personnel and labor relations managers","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"009","Purchasing managers","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"013","Managers, marketing, advertising, and public relations","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"014","Administrators, education and related fields","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"015","Managers, medicine and health","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"016","Managers, properties and real estate","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"017","Postmasters and mail superintendents","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"018","Funeral directors","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"019","Managers and administrators, n.e.c.","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations",,
"023","Accountants and auditors","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"024","Underwriters","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"025","Other financial officers","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"026","Management analysts","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"027","Personnel, training, and labor relations specialists","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"028","Purchasing agents and buyers, farm products","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"029","Buyers, wholesale and retail trade, except farm products","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"033","Purchasing agents and buyers, n.e.c.","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"034","Business and promotion agents","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"035","Construction inspectors","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"036","Inspection and compliance officers, except construction","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"037","Management related occupations, n.e.c.","Managerial and Professional Specialty Occupations","Executive, Administrative, and Managerial Occupations","Management Related Occupations",
"043","Architects","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors",
"044","Aerospace","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"045","Metallurgical and materials","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"046","Mining","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"047","Petroleum","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"048","Chemical","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"049","Nuclear","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"053","Civil","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"054","Agricultural","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"055","Electrical and electronic","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"056","Industrial","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"057","Mechanical","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"058","Marine and naval architects","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"059","Engineers, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors","Engineers"
"063","Surveyors and mapping scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Engineers, Architects, and Surveyors",
"064","Computer systems analysts and scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Mathematical and Computer Scientists",
"065","Operations and systems researchers and analysts","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Mathematical and Computer Scientists",
"066","Actuaries","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Mathematical and Computer Scientists",
"067","Statisticians","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Mathematical and Computer Scientists",
"068","Mathematical scientists, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Mathematical and Computer Scientists",
"069","Physicists and astronomers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"073","Chemists, except biochemists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"074","Atmospheric and space scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"075","Geologists and geodesists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"076","Physical scientists, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"077","Agricultural and food scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"078","Biological and life scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"079","Forestry and conservation scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"083","Medical scientists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Natural Scientists",
"084","Physicians","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Diagnosing Occupations",
"085","Dentists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Diagnosing Occupations",
"086","Veterinarians","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Diagnosing Occupations",
"087","Optometrists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Diagnosing Occupations",
"088","Podiatrists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Diagnosing Occupations",
"089","Health diagnosing practitioners, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Diagnosing Occupations",
"095","Registered nurses","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations",
"096","Pharmacists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations",
"097","Dietitians","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations",
"098","Inhalation therapists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations","Therapists"
"099","Occupational therapists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations","Therapists"
"103","Physical therapists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations","Therapists"
"104","Speech therapists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations","Therapists"
"105","Therapists, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations","Therapists"
"106","Physicians' assistants","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Health Assessment and Treating Occupations",
"113","Earth, environmental, and marine science teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"114","Biological science teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"115","Chemistry teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"116","Physics teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"117","Natural science teachers, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"118","Psychology teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"119","Economics teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"123","History teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"124","Political science teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"125","Sociology teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"126","Social science teachers, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"127","Engineering teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"128","Mathematical science teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"129","Computer science teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"133","Medical science teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"134","Health specialties teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"135","Business, commerce, and marketing teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"136","Agriculture and forestry teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"137","Art, drama, and music teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"138","Physical education teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"139","Education teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"143","English teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"144","Foreign language teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"145","Law teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"146","Social work teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"147","Theology teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"148","Trade and industrial teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"149","Home economics teachers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"153","Teachers, postsecondary, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"154","Postsecondary teachers, subject n.s.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Postsecondary",
"155","Teachers, prekindergarten and kindergarten","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Except Postsecondary",
"156","Teachers, elementary school","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Except Postsecondary",
"157","Teachers, secondary school","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Except Postsecondary",
"158","Teachers, special education","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Except Postsecondary",
"159","Teachers, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Teachers, Except Postsecondary",
"163","Counselors, educational and vocational","Managerial and Professional Specialty Occupations","Professional Specialty Occupations",,
"164","Librarians","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Librarians, Archivists, and Curators",
"165","Archivists and curators","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Librarians, Archivists, and Curators",
"166","Economists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social Scientists and Urban Planners",
"167","Psychologists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social Scientists and Urban Planners",
"168","Sociologists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social Scientists and Urban Planners",
"169","Social scientists, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social Scientists and Urban Planners",
"173","Urban planners","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social Scientists and Urban Planners",
"174","Social workers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social, Recreation, and Religious Workers",
"175","Recreation workers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social, Recreation, and Religious Workers",
"176","Clergy","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social, Recreation, and Religious Workers",
"177","Religious workers, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Social, Recreation, and Religious Workers",
"178","Lawyers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Lawyers and Judges",
"179","Judges","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Lawyers and Judges",
"183","Authors","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"184","Technical writers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"185","Designers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"186","Musicians and composers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"187","Actors and directors","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"188","Painters, sculptors, craft-artists, and artist printmakers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"189","Photographers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"193","Dancers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"194","Artists, performers, and related workers, n.e.c.","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"195","Editors and reporters","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"197","Public relations specialists","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"198","Announcers","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"199","Athletes","Managerial and Professional Specialty Occupations","Professional Specialty Occupations","Writers, Artists, Entertainers, and Athletes",
"203","Clinical laboratory technologists and technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Health Technologists and Technicians",
"204","Dental hygienists","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Health Technologists and Technicians",
"205","Health record technologists and technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Health Technologists and Technicians",
"206","Radiologic technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Health Technologists and Technicians",
"207","Licensed practical nurses","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Health Technologists and Technicians",
"208","Health technologists and technicians, n.e.c.","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Health Technologists and Technicians",
"213","Electrical and electronic technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Engineering and Related Technologists and Technicians"
"214","Industrial engineering technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Engineering and Related Technologists and Technicians"
"215","Mechanical engineering technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Engineering and Related Technologists and Technicians"
"216","Engineering technicians, n.e.c.","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Engineering and Related Technologists and Technicians"
"217","Drafting occupations","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Engineering and Related Technologists and Technicians"
"218","Surveying and mapping technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Engineering and Related Technologists and Technicians"
"223","Biological technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Science Technicians"
"224","Chemical technicians","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Science Technicians"
"225","Science technicians, n.e.c.","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Science Technicians"
"226","Airplane pilots and navigators","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"227","Air traffic controllers","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"228","Broadcast equipment operators","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"229","Computer programmers","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"233","Tool programmers, numerical control","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"234","Legal assistants","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"235","Technicians, n.e.c.","Technical, Sales, and Administrative Support Occupations","Technicians and Related Support Occupations","Technologists and Technicians, Except Health","Technicians, Except Health, Engineering and Science"
"243","Supervisors and proprietors, sales occupations","Technical, Sales, and Administrative Support Occupations","Sales Occupations",,
"253","Insurance sales occupations","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Finance and Business Services",
"254","Real estate sales occupations","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Finance and Business Services",
"255","Securities and financial services sales occupations","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Finance and Business Services",
"256","Advertising and related sales occupations","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Finance and Business Services",
"257","Sales occupations, other business services","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Finance and Business Services",
"258","Sales engineers","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Commodities, Except Retail",
"259","Sales representatives, mining, manufacturing, and wholesale","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Representatives, Commodities, Except Retail",
"263","Sales workers, motor vehicles and boats","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"264","Sales workers, apparel","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"265","Sales workers, shoes","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"266","Sales workers, furniture and home furnishings","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"267","Sales workers, radio, TV, hi-fi, and appliances","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"268","Sales workers, hardware and building supplies","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"269","Sales workers, parts","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"274","Sales workers, other commodities","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"275","Sales counter clerks","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"276","Cashiers","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"277","Street and door-to-door sales workers","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
"278","News vendors","Technical, Sales, and Administrative Support Occupations","Sales Occupations","Sales Workers, Retail and Personal Services",
